"PartitionKey","Time","Duration","Distance"
"HomeToMicrosoft","10/29/2014 11:30:06 AM","686","5.382317"
"HomeToMicrosoft","10/29/2014 12:00:06 PM","702","5.382317"
"HomeToMicrosoft","10/29/2014 12:30:06 PM","693","5.382317"
"HomeToMicrosoft","10/29/2014 1:00:05 PM","753","5.382317"
"HomeToMicrosoft","10/29/2014 1:30:06 PM","821","5.382317"
"HomeToMicrosoft","10/29/2014 2:00:06 PM","876","5.382317"
"HomeToMicrosoft","10/29/2014 2:30:06 PM","1010","5.382317"
"HomeToMicrosoft","10/29/2014 3:00:06 PM","1030","5.382317"
"HomeToMicrosoft","10/29/2014 3:30:06 PM","1316","5.382317"
"HomeToMicrosoft","10/29/2014 4:00:05 PM","1441","5.382317"
"HomeToMicrosoft","10/29/2014 4:30:05 PM","1135","5.382317"
"HomeToMicrosoft","10/29/2014 5:00:06 PM","1092","5.382317"
"HomeToMicrosoft","10/29/2014 5:30:04 PM","874","5.382317"
"HomeToMicrosoft","10/29/2014 6:00:06 PM","915","5.382317"
"HomeToMicrosoft","10/29/2014 6:30:05 PM","849","5.382317"
"HomeToMicrosoft","10/29/2014 7:00:04 PM","870","5.382317"
"HomeToMicrosoft","10/29/2014 7:30:05 PM","848","5.382317"
"HomeToMicrosoft","10/29/2014 8:00:04 PM","861","5.382317"
"HomeToMicrosoft","10/29/2014 8:30:04 PM","893","5.382317"
"HomeToMicrosoft","10/29/2014 9:00:04 PM","842","5.382317"
"HomeToMicrosoft","10/29/2014 9:30:04 PM","838","5.382317"
"HomeToMicrosoft","10/29/2014 10:00:05 PM","837","5.382317"
"HomeToMicrosoft","10/29/2014 10:30:05 PM","868","5.382317"
"HomeToMicrosoft","10/29/2014 11:00:05 PM","821","5.382317"
"HomeToMicrosoft","10/29/2014 11:30:06 PM","879","5.382317"
"HomeToMicrosoft","10/30/2014 12:00:05 AM","861","5.382317"
"HomeToMicrosoft","10/30/2014 12:30:05 AM","871","5.382317"
"HomeToMicrosoft","10/30/2014 1:00:06 AM","871","5.382317"
"HomeToMicrosoft","10/30/2014 1:30:07 AM","857","5.382317"
"HomeToMicrosoft","10/30/2014 2:00:08 AM","856","5.382317"
"HomeToMicrosoft","10/30/2014 2:30:07 AM","821","5.382317"
"HomeToMicrosoft","10/30/2014 3:00:05 AM","821","5.382317"
"HomeToMicrosoft","10/30/2014 3:30:08 AM","812","5.382317"
"HomeToMicrosoft","10/30/2014 4:00:09 AM","815","5.382317"
"HomeToMicrosoft","10/30/2014 4:30:06 AM","806","5.382317"
"HomeToMicrosoft","10/30/2014 5:00:05 AM","815","5.382317"
"HomeToMicrosoft","10/30/2014 5:30:06 AM","806","5.382317"
"HomeToMicrosoft","10/30/2014 6:00:06 AM","797","5.382317"
"HomeToMicrosoft","10/30/2014 6:30:07 AM","701","5.382317"
"HomeToMicrosoft","10/30/2014 7:00:06 AM","695","5.382317"
"HomeToMicrosoft","10/30/2014 7:30:06 AM","681","5.382317"
"HomeToMicrosoft","10/30/2014 8:00:06 AM","673","5.382317"
"HomeToMicrosoft","10/30/2014 8:30:06 AM","676","5.382317"
"HomeToMicrosoft","10/30/2014 9:00:06 AM","674","5.382317"
"HomeToMicrosoft","10/30/2014 9:30:06 AM","674","5.382317"
"HomeToMicrosoft","10/30/2014 10:00:07 AM","679","5.382317"
"HomeToMicrosoft","10/30/2014 10:30:06 AM","684","5.382317"
"HomeToMicrosoft","10/30/2014 11:00:07 AM","674","5.382317"
"HomeToMicrosoft","10/30/2014 11:30:05 AM","681","5.382317"
"HomeToMicrosoft","10/30/2014 12:00:05 PM","694","5.382317"
"HomeToMicrosoft","10/30/2014 12:30:06 PM","699","5.382317"
"HomeToMicrosoft","10/30/2014 1:00:05 PM","739","5.382317"
"HomeToMicrosoft","10/30/2014 1:30:07 PM","812","5.382317"
"HomeToMicrosoft","10/30/2014 2:00:08 PM","842","5.382317"
"HomeToMicrosoft","10/30/2014 2:30:05 PM","966","5.382317"
"HomeToMicrosoft","10/30/2014 3:00:05 PM","1019","5.382317"
"HomeToMicrosoft","10/30/2014 3:30:05 PM","1157","5.382317"
"HomeToMicrosoft","10/30/2014 4:00:06 PM","1075","5.382317"
"HomeToMicrosoft","10/30/2014 4:30:06 PM","1081","5.382317"
"HomeToMicrosoft","10/30/2014 5:00:07 PM","946","5.382317"
"HomeToMicrosoft","10/30/2014 5:30:08 PM","843","5.382317"
"HomeToMicrosoft","10/30/2014 6:00:07 PM","860","5.382317"
"HomeToMicrosoft","10/30/2014 6:30:06 PM","872","5.382317"
"HomeToMicrosoft","10/30/2014 7:00:06 PM","895","5.382317"
"HomeToMicrosoft","10/30/2014 7:30:06 PM","849","5.382317"
"HomeToMicrosoft","10/30/2014 8:00:09 PM","855","5.382317"
"HomeToMicrosoft","10/30/2014 8:30:06 PM","832","5.382317"
"HomeToMicrosoft","10/30/2014 9:00:05 PM","843","5.382317"
"HomeToMicrosoft","10/30/2014 9:30:05 PM","863","5.382317"
"HomeToMicrosoft","10/30/2014 10:00:06 PM","878","5.382317"
"HomeToMicrosoft","10/30/2014 10:30:08 PM","848","5.382317"
"HomeToMicrosoft","10/30/2014 11:00:06 PM","832","5.382317"
"HomeToMicrosoft","10/30/2014 11:30:06 PM","878","5.382317"
"HomeToMicrosoft","10/31/2014 12:00:06 AM","905","5.382317"
"HomeToMicrosoft","10/31/2014 12:30:06 AM","897","5.382317"
"HomeToMicrosoft","10/31/2014 1:00:06 AM","885","5.382317"
"HomeToMicrosoft","10/31/2014 1:30:06 AM","886","5.382317"
"HomeToMicrosoft","10/31/2014 2:00:06 AM","894","5.382317"
"HomeToMicrosoft","10/31/2014 2:30:06 AM","839","5.382317"
"HomeToMicrosoft","10/31/2014 3:00:07 AM","825","5.382317"
"HomeToMicrosoft","10/31/2014 3:30:06 AM","833","5.382317"
"HomeToMicrosoft","10/31/2014 4:00:06 AM","816","5.382317"
"HomeToMicrosoft","10/31/2014 4:30:07 AM","809","5.382317"
"HomeToMicrosoft","10/31/2014 5:00:05 AM","804","5.382317"
"HomeToMicrosoft","10/31/2014 5:30:06 AM","799","5.382317"
"HomeToMicrosoft","10/31/2014 6:00:06 AM","810","5.382317"
"HomeToMicrosoft","10/31/2014 6:30:07 AM","697","5.382317"
"HomeToMicrosoft","10/31/2014 7:00:05 AM","681","5.382317"
"HomeToMicrosoft","10/31/2014 7:30:07 AM","681","5.382317"
"HomeToMicrosoft","10/31/2014 8:00:06 AM","681","5.382317"
"HomeToMicrosoft","10/31/2014 8:30:05 AM","679","5.382317"
"HomeToMicrosoft","10/31/2014 9:00:05 AM","674","5.382317"
"HomeToMicrosoft","10/31/2014 9:30:05 AM","669","5.382317"
"HomeToMicrosoft","10/31/2014 10:00:05 AM","674","5.382317"
"HomeToMicrosoft","10/31/2014 10:30:06 AM","677","5.382317"
"HomeToMicrosoft","10/31/2014 11:00:06 AM","722","5.382317"
"HomeToMicrosoft","10/31/2014 11:30:06 AM","670","5.382317"
"HomeToMicrosoft","10/31/2014 12:00:08 PM","680","5.382317"
"HomeToMicrosoft","10/31/2014 12:30:06 PM","685","5.382317"
"HomeToMicrosoft","10/31/2014 1:00:05 PM","723","5.382317"
"HomeToMicrosoft","10/31/2014 1:30:06 PM","797","5.382317"
"HomeToMicrosoft","10/31/2014 2:00:06 PM","843","5.382317"
"HomeToMicrosoft","10/31/2014 2:30:06 PM","924","5.382317"
"HomeToMicrosoft","10/31/2014 3:00:05 PM","1004","5.382317"
"HomeToMicrosoft","10/31/2014 3:30:05 PM","1061","5.382317"
"HomeToMicrosoft","10/31/2014 4:00:04 PM","1088","5.382317"
"HomeToMicrosoft","10/31/2014 4:30:06 PM","1061","5.382317"
"HomeToMicrosoft","10/31/2014 5:00:06 PM","1027","5.382317"
"HomeToMicrosoft","10/31/2014 5:30:07 PM","865","5.382317"
"HomeToMicrosoft","10/31/2014 6:00:07 PM","856","5.382317"
"HomeToMicrosoft","10/31/2014 6:30:06 PM","852","5.382317"
"HomeToMicrosoft","10/31/2014 7:00:06 PM","891","5.382317"
"HomeToMicrosoft","10/31/2014 7:30:06 PM","839","5.382317"
"HomeToMicrosoft","10/31/2014 8:00:05 PM","877","5.382317"
"HomeToMicrosoft","10/31/2014 8:30:06 PM","844","5.382317"
"HomeToMicrosoft","10/31/2014 9:00:06 PM","856","5.382317"
"HomeToMicrosoft","10/31/2014 9:30:07 PM","883","5.382317"
"HomeToMicrosoft","10/31/2014 10:00:07 PM","854","5.382317"
"HomeToMicrosoft","10/31/2014 10:30:07 PM","871","5.382317"
"HomeToMicrosoft","10/31/2014 11:00:06 PM","873","5.382317"
"HomeToMicrosoft","10/31/2014 11:30:05 PM","899","5.382317"
"HomeToMicrosoft","11/1/2014 12:00:06 AM","896","5.382317"
"HomeToMicrosoft","11/1/2014 12:30:05 AM","854","5.382317"
"HomeToMicrosoft","11/1/2014 1:00:06 AM","847","5.382317"
"HomeToMicrosoft","11/1/2014 1:30:05 AM","841","5.382317"
"HomeToMicrosoft","11/1/2014 2:00:05 AM","839","5.382317"
"HomeToMicrosoft","11/1/2014 2:30:06 AM","833","5.382317"
"HomeToMicrosoft","11/1/2014 3:00:07 AM","812","5.382317"
"HomeToMicrosoft","11/1/2014 3:30:06 AM","808","5.382317"
"HomeToMicrosoft","11/1/2014 4:00:06 AM","806","5.382317"
"HomeToMicrosoft","11/1/2014 4:30:06 AM","801","5.382317"
"HomeToMicrosoft","11/1/2014 5:00:07 AM","792","5.382317"
"HomeToMicrosoft","11/1/2014 5:30:06 AM","793","5.382317"
"HomeToMicrosoft","11/1/2014 6:00:06 AM","795","5.382317"
"HomeToMicrosoft","11/1/2014 6:30:06 AM","698","5.382317"
"HomeToMicrosoft","11/1/2014 7:00:06 AM","680","5.382317"
"HomeToMicrosoft","11/1/2014 7:30:06 AM","688","5.382317"
"HomeToMicrosoft","11/1/2014 8:00:06 AM","681","5.382317"
"HomeToMicrosoft","11/1/2014 8:30:05 AM","673","5.382317"
"HomeToMicrosoft","11/1/2014 9:00:06 AM","674","5.382317"
"HomeToMicrosoft","11/1/2014 9:30:06 AM","679","5.382317"
"HomeToMicrosoft","11/1/2014 10:00:05 AM","673","5.382317"
"HomeToMicrosoft","11/1/2014 10:30:05 AM","682","5.382317"
"HomeToMicrosoft","11/1/2014 11:00:06 AM","679","5.382317"
"HomeToMicrosoft","11/1/2014 11:30:06 AM","674","5.382317"
"HomeToMicrosoft","11/1/2014 12:00:06 PM","680","5.382317"
"HomeToMicrosoft","11/1/2014 12:30:06 PM","671","5.382317"
"HomeToMicrosoft","11/1/2014 1:00:05 PM","679","5.382317"
"HomeToMicrosoft","11/1/2014 1:30:07 PM","709","5.382317"
"HomeToMicrosoft","11/1/2014 2:00:07 PM","811","5.382317"
"HomeToMicrosoft","11/1/2014 2:30:06 PM","806","5.382317"
"HomeToMicrosoft","11/1/2014 3:00:06 PM","810","5.382317"
"HomeToMicrosoft","11/1/2014 3:30:06 PM","826","5.382317"
"HomeToMicrosoft","11/1/2014 4:00:05 PM","822","5.382317"
"HomeToMicrosoft","11/1/2014 4:30:05 PM","823","5.382317"
"HomeToMicrosoft","11/1/2014 5:00:05 PM","814","5.382317"
"HomeToMicrosoft","11/1/2014 5:30:05 PM","815","5.382317"
"HomeToMicrosoft","11/1/2014 6:00:08 PM","823","5.382317"
"HomeToMicrosoft","11/1/2014 6:30:05 PM","839","5.382317"
"HomeToMicrosoft","11/1/2014 7:00:08 PM","841","5.382317"
"HomeToMicrosoft","11/1/2014 7:30:06 PM","824","5.382317"
"HomeToMicrosoft","11/1/2014 8:00:05 PM","833","5.382317"
"HomeToMicrosoft","11/1/2014 8:30:06 PM","831","5.382317"
"HomeToMicrosoft","11/1/2014 9:00:05 PM","824","5.382317"
"HomeToMicrosoft","11/1/2014 9:30:07 PM","852","5.382317"
"HomeToMicrosoft","11/1/2014 10:00:05 PM","825","5.382317"
"HomeToMicrosoft","11/1/2014 10:30:07 PM","814","5.382317"
"HomeToMicrosoft","11/1/2014 11:00:05 PM","814","5.382317"
"HomeToMicrosoft","11/1/2014 11:30:06 PM","814","5.382317"
"HomeToMicrosoft","11/2/2014 12:00:06 AM","806","5.382317"
"HomeToMicrosoft","11/2/2014 12:30:05 AM","827","5.382317"
"HomeToMicrosoft","11/2/2014 1:00:05 AM","831","5.382317"
"HomeToMicrosoft","11/2/2014 1:30:06 AM","804","5.382317"
"HomeToMicrosoft","11/2/2014 2:00:06 AM","813","5.382317"
"HomeToMicrosoft","11/2/2014 2:30:06 AM","806","5.382317"
"HomeToMicrosoft","11/2/2014 3:00:06 AM","807","5.382317"
"HomeToMicrosoft","11/2/2014 3:30:05 AM","814","5.382317"
"HomeToMicrosoft","11/2/2014 4:00:05 AM","797","5.382317"
"HomeToMicrosoft","11/2/2014 4:30:06 AM","796","5.382317"
"HomeToMicrosoft","11/2/2014 5:00:06 AM","794","5.382317"
"HomeToMicrosoft","11/2/2014 5:30:05 AM","790","5.382317"
"HomeToMicrosoft","11/2/2014 6:00:05 AM","786","5.382317"
"HomeToMicrosoft","11/2/2014 6:30:06 AM","699","5.382317"
"HomeToMicrosoft","11/2/2014 7:00:06 AM","673","5.382317"
"HomeToMicrosoft","11/2/2014 7:30:06 AM","685","5.382317"
"HomeToMicrosoft","11/2/2014 8:00:06 AM","670","5.382317"
"HomeToMicrosoft","11/2/2014 8:30:06 AM","672","5.382317"
"HomeToMicrosoft","11/2/2014 9:00:07 AM","680","5.382317"
"HomeToMicrosoft","11/2/2014 9:30:05 AM","685","5.382317"
"HomeToMicrosoft","11/2/2014 10:00:06 AM","677","5.382317"
"HomeToMicrosoft","11/2/2014 10:30:06 AM","679","5.382317"
"HomeToMicrosoft","11/2/2014 11:00:05 AM","674","5.382317"
"HomeToMicrosoft","11/2/2014 11:30:07 AM","674","5.382317"
"HomeToMicrosoft","11/2/2014 12:00:06 PM","679","5.382317"
"HomeToMicrosoft","11/2/2014 12:30:05 PM","684","5.382317"
"HomeToMicrosoft","11/2/2014 1:00:05 PM","679","5.382317"
"HomeToMicrosoft","11/2/2014 1:30:05 PM","674","5.382317"
"HomeToMicrosoft","11/2/2014 2:00:08 PM","674","5.382317"
"HomeToMicrosoft","11/2/2014 2:30:06 PM","679","5.382317"
"HomeToMicrosoft","11/2/2014 3:00:05 PM","672","5.382317"
"HomeToMicrosoft","11/2/2014 3:30:05 PM","681","5.382317"
"HomeToMicrosoft","11/2/2014 4:00:05 PM","713","5.382317"
"HomeToMicrosoft","11/2/2014 4:30:07 PM","776","5.382317"
"HomeToMicrosoft","11/2/2014 5:00:06 PM","790","5.382317"
"HomeToMicrosoft","11/2/2014 5:30:06 PM","792","5.382317"
"HomeToMicrosoft","11/2/2014 6:00:05 PM","798","5.382317"
"HomeToMicrosoft","11/2/2014 6:30:06 PM","799","5.382317"
"HomeToMicrosoft","11/2/2014 7:00:06 PM","821","5.382317"
